court	docket_date	case_count	case_numbers
1-1	2025-01-22	1	251100001532
1-1	2025-01-28	1	251100001532
1-1	2025-01-21	1	251100001033
1-1	2025-01-28	1	251100001033
1-1	2025-01-22	1	251100001381
1-1	2025-01-28	2	251100001381, 251100001452
1-1	2025-01-22	2	251100001294, 251100001452
1-1	2025-01-28	1	251100001294
1-1	2025-01-22	1	251100001490
1-1	2025-01-28	2	251100001490, 251100001574
1-1	2025-01-22	2	251100001506, 251100001574
1-1	2025-01-28	2	251100001506, 251100002417
1-1	2025-01-22	2	251100002422, 251100002417
1-1	2025-01-28	2	251100002422, 251100002425
1-1	2025-01-22	1	251100002425
1-1	2025-02-05	1	251100002425
1-1	2025-01-28	1	251100002432
1-1	2025-01-22	2	251100002432, 251100002496
1-1	2025-01-28	1	251100002496
1-1	2025-01-22	1	251100002444
1-1	2025-01-29	1	251100002444
1-1	2025-01-28	1	251100002435
1-1	2025-01-22	2	251100002651, 251100002435
1-1	2025-01-28	1	251100002651
1-1	2025-02-04	1	251100002651
1-1	2025-01-28	1	251100002438
1-1	2025-01-22	2	251100002438, 251100002693
1-1	2025-01-28	1	251100002693
1-1	2025-01-22	1	251100002692
1-1	2025-01-28	1	251100002692
1-1	2025-01-22	1	251100002647
1-1	2025-01-28	1	251100002647
1-1	2025-01-22	2	251100002727, 251100002699
1-1	2025-01-28	1	251100002727
1-1	2025-01-22	1	251100002760
1-1	2025-01-28	1	251100002760
1-1	2025-01-22	1	251100002765
1-1	2025-01-28	1	251100002765
1-1	2025-01-22	2	251100002745, 251100002778
1-1	2025-01-28	1	251100002778
1-1	2025-01-22	2	251100002809, 251100002812
1-1	2025-01-28	1	251100002812
1-1	2025-01-22	1	251100002813
1-1	2025-01-28	1	251100002813
1-1	2025-01-22	1	251100002810
1-1	2025-01-28	2	251100002810, 251100002839
1-1	2025-01-22	2	251100002840, 251100002839
1-1	2025-01-28	1	251100002840
1-1	2025-01-22	1	251100002858
1-1	2025-01-28	1	251100002858
1-1	2025-01-22	1	251100002864
1-1	2025-01-28	1	251100002864
1-1	2025-01-22	3	251100002884, 251100002934, 251100002866
1-1	2025-01-28	1	251100002934
1-1	2025-01-22	1	251100002967
1-1	2025-01-28	1	251100002967
1-1	2025-02-04	1	251100002967
1-1	2025-03-05	1	251100002967
1-1	2025-01-22	1	251100002982
1-1	2025-01-28	1	251100002982
1-1	2025-01-22	1	251100002958
1-1	2025-01-28	1	251100002958
1-1	2025-02-04	1	251100002958
1-1	2025-03-05	1	251100002958
1-1	2025-01-22	1	251100003010
1-1	2025-01-28	1	251100003010
1-1	2025-01-22	1	251100003019
1-1	2025-01-28	1	251100003019
1-1	2025-01-22	1	251100002942
1-1	2025-01-28	1	251100002942
1-1	2025-02-04	1	251100002942
1-1	2025-02-17	1	251100002942
1-1	2025-01-22	1	251100003031
